@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-7

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X numeric
@attribute TYPE_ACCELEROMETER_Y numeric
@attribute TYPE_ACCELEROMETER_Z numeric
@attribute TYPE_GYROSCOPE_X numeric
@attribute TYPE_GYROSCOPE_Y numeric
@attribute TYPE_GYROSCOPE_Z numeric

@data
walking,-0.476242,14.599411,0.220444,0.120117,-0.042267,0.182388
walking,1.649429,14.837448,-0.05806,0.396759,-0.03479,-0.146591
walking,2.161209,12.002426,3.331589,0.826141,-0.525055,-0.507614
walking,2.187393,9.026962,2.917404,1.499054,-0.917053,-0.818436
walking,3.475174,7.370224,0.099045,2.091858,-0.360565,-0.885727
walking,4.460648,11.888168,2.203293,2.83313,-0.134125,-0.884659
walking,4.175003,12.906967,1.153549,2.83313,-0.134125,-0.884659
walking,5.684158,13.023605,-0.96022,2.326843,0.232239,-1.045944
walking,6.986221,13.392563,-3.821426,2.3685,-1.752319,-1.206162
walking,9.411819,14.106674,-3.088272,2.026703,-3.927002,-1.114304
walking,2.542069,11.231186,-0.200882,1.205322,-3.625794,-1.213638
walking,2.646805,11.473984,5.692917,1.20639,-2.248993,-1.11644
walking,-0.702377,14.028122,6.699814,1.010925,-1.109314,-0.950882
walking,-4.170578,10.226669,4.059982,1.907074,1.746826,-2.192032
walking,-1.568832,5.54686,-0.598404,2.81604,3.293457,-2.386429
walking,3.560867,2.78801,0.013351,2.713501,3.37677,-1.738083
walking,3.846512,0.195786,-2.459854,2.356751,2.684631,-1.361038
walking,2.004105,0.16246,-2.962112,1.740448,2.313995,-1.108963
walking,1.963638,2.066757,-2.864517,0.983154,1.84082,-0.6689
walking,2.09932,2.771347,-2.276566,0.296356,1.097412,-0.454208
walking,1.663712,2.628525,-2.862137,-0.229157,0.847473,-0.361282
walking,0.649673,3.590195,-3.888077,-0.76001,0.778046,-0.315353
walking,0.404495,5.361191,-5.828079,-1.192596,0.895538,-0.190384
walking,0.104568,8.643723,-6.049454,-1.517304,0.867767,0.025375
walking,-1.285568,12.399948,-6.737381,-1.687134,0.727844,0.09053
walking,-3.116074,15.037399,-7.860916,-1.334656,0.886993,0.094803
walking,-3.108933,16.884567,-6.520767,-0.593384,0.882721,0.01149
walking,-0.409592,14.330429,-7.532425,0.221588,0.084839,-0.182907
walking,-0.223923,9.412582,-12.102737,0.756714,0.476837,-0.500137
walking,-0.961838,7.172653,-11.60524,0.81012,1.003418,-0.662491
walking,1.328079,8.934128,-7.672867,0.244019,0.433044,-0.234177
walking,5.058121,12.147629,0.858383,-0.35733,-0.227051,0.234726
walking,6.791031,15.273056,4.378952,-1.081513,-1.586762,0.339401
walking,0.18074,10.881271,-0.772171,-0.867889,-0.803833,0.392807
walking,0.149796,5.194565,1.551071,-0.355194,0.158539,0.247543
walking,1.109085,5.025559,-2.683609,-1.064423,-1.084747,0.585068
walking,2.630142,8.24144,1.084518,-1.064423,-1.084747,0.585068
walking,2.844376,9.229294,3.488693,-1.657227,-1.783295,0.903366
walking,1.942215,8.462814,2.88884,-2.254303,-1.549377,1.234482
walking,1.485184,8.824631,2.665085,-2.512787,-1.583557,1.420334
walking,0.452103,11.06456,2.707932,-2.653778,-1.850586,1.605118
walking,1.701798,13.871017,-1.617203,-2.583283,-1.802521,1.879623
walking,0.930557,12.035751,3.693405,-2.63562,-1.351776,1.880692
walking,-0.328659,9.957687,0.958359,-1.566437,-0.575256,1.134079
walking,0.494949,8.696091,1.567734,-1.300476,0.601807,0.627792
walking,1.558975,8.11528,-1.055435,-1.270569,0.709686,0.479324
walking,0.797256,7.379746,0.082382,-1.323975,0.664825,0.337265
walking,0.637772,7.013168,0.689377,-1.344269,0.568695,0.302017
walking,0.285477,7.486862,-1.374405,-1.02063,0.711823,0.308426
walking,0.480667,8.838913,-1.548172,-0.855072,0.913696,0.400284
walking,0.549698,9.336411,0.913132,-0.90741,0.624237,0.551956
walking,0.587784,9.638718,-0.241348,-0.37442,0.066681,0.592545
walking,0.997208,10.593246,0.022873,-0.37442,0.066681,0.592545
walking,1.642288,12.254746,1.246384,-0.472687,-0.020905,0.596817
walking,0.880569,12.676071,1.165451,-0.445984,0.153198,0.54982
walking,-0.880905,12.737961,1.686752,-0.332764,0.145721,0.432327
walking,-1.17131,13.454453,-0.12709,-0.125549,0.025024,0.405624
walking,-0.500046,14.342331,-0.377029,-0.067871,0.029297,0.281723
walking,0.513992,15.280197,-0.553177,0.061371,-0.188599,-0.034439
walking,1.999344,13.411606,2.767441,0.548431,-0.59021,-0.429642
walking,2.239761,10.802719,3.888596,1.997864,-0.254822,-1.036331
walking,3.260941,8.129562,0.891708,1.997864,-0.254822,-1.036331
walking,5.660355,10.117172,0.608444,2.5896,-0.328522,-1.057694
walking,6.115006,12.833176,0.056198,2.981598,-0.786743,-1.034195
walking,6.691055,12.754623,-0.208023,2.350342,-0.314636,-1.295883
walking,8.443008,12.657028,-2.250382,2.058746,-1.946716,-1.128189
walking,7.005264,12.578476,-2.278946,1.792786,-3.680267,-1.060898
walking,2.739639,10.74321,-0.672195,1.241638,-3.241272,-1.136734
walking,2.906265,10.043381,3.652939,1.386902,-2.240448,-0.849411
walking,0.509232,13.868637,5.490585,1.162598,-1.703186,-0.658218
walking,-2.851852,11.881027,4.724106,1.671021,0.699005,-1.761581
walking,0.014114,8.412827,-0.612686,2.808563,2.207184,-2.242233
walking,2.651566,4.768478,-1.069717,3.017914,3.259277,-1.800034
walking,3.841751,1.604965,-2.040909,2.546875,2.637634,-1.54155
walking,2.142166,0.41716,-2.490799,2.035248,2.225342,-1.192276
walking,1.430435,1.559738,-3.428665,1.362335,1.941223,-0.767166
walking,1.240006,2.866562,-1.881424,0.671265,1.271515,-0.390121
walking,1.487564,3.36644,-2.181351,0.110504,0.744934,-0.213882
walking,1.294754,3.316452,-2.838333,-0.310333,0.639191,-0.143387
walking,0.580643,4.368576,-4.345108,-0.757874,0.632782,-0.102798
walking,0.133133,6.160996,-7.270584,-1.110352,0.848541,-0.009872
walking,-0.91423,9.241196,-7.470535,-1.450012,0.944672,0.096939
walking,-1.623581,13.187851,-7.827591,-1.678589,0.846405,0.089462
walking,-2.406723,15.6801,-8.763077,-1.338928,0.95108,0.0681
walking,-0.9785,15.772934,-7.31105,-0.559204,0.653076,-0.04512
walking,0.483048,12.690353,-8.936844,0.362579,-0.067902,-0.211746
walking,0.287857,9.545883,-11.224381,0.733215,0.586853,-0.346329
walking,1.961258,9.529221,-8.939224,0.487549,0.695801,-0.285446
walking,4.403519,9.850571,-6.204178,0.09021,-0.423584,0.015762
walking,7.005264,12.299973,1.860519,-0.559204,-1.435089,0.44194
walking,3.748917,11.933395,-2.438431,-0.666016,-1.793976,0.708969
walking,-2.287705,9.281662,3.557724,-0.049713,-0.150146,0.922592
walking,0.930557,8.479477,3.588669,-0.285767,-0.283661,0.713242
walking,0.768692,6.558518,2.372299,-0.89566,-0.364838,0.643814
walking,1.851761,6.720383,2.236618,-1.525848,-0.999298,0.529526
walking,1.282852,6.991745,1.627243,-2.57901,-1.539764,1.08815
walking,2.144547,8.465195,-0.641251,-2.57901,-1.539764,1.08815
walking,1.199539,11.414475,1.731979,-2.810791,-1.53656,1.503647
walking,2.756302,14.91124,2.831711,-2.48288,-1.881561,1.676682
walking,2.399246,11.497787,0.889328,-1.725586,-1.121063,1.555985
walking,0.404495,8.658005,-0.793594,-1.336792,0.011139,0.789078
walking,0.199783,7.660629,0.368027,-1.334656,-0.131989,0.37999
walking,0.654434,8.196213,2.043808,-1.596344,-0.311432,0.342606
walking,0.716324,8.348557,0.329941,-1.705292,0.030365,0.338333
walking,0.159317,7.958176,0.615585,-1.630524,0.617828,0.258225
walking,0.11171,7.403549,-0.398453,-1.530121,0.630646,0.169571
walking,0.921036,8.129562,-3.178726,-1.284454,0.640259,0.169571
walking,0.918655,8.417587,0.489426,-1.376312,0.382843,0.291336
walking,0.359268,8.593735,1.465378,-0.56134,0.310211,0.649155
walking,0.647293,9.112656,0.19426,-0.56134,0.310211,0.649155
walking,1.004349,11.085983,0.237106,-0.398987,0.344391,0.749558
walking,1.20668,12.311874,1.710556,-0.59552,0.44693,0.775192
walking,1.287613,13.556808,1.082138,-0.531433,0.539856,0.66304
walking,0.552078,13.871017,1.377304,-0.314606,0.301666,0.45369
walking,-0.107285,14.230454,0.851242,-0.279358,-0.087128,0.293472
walking,0.254532,14.513718,0.058578,-0.223816,-0.102081,0.244339
walking,0.535416,14.71843,-0.517471,-0.181091,0.082703,0.093735
walking,1.46376,15.196884,-0.798355,0.009033,-0.180054,-0.094254
walking,1.711319,12.92601,0.996445,0.471527,-0.62439,-0.264084
walking,1.823196,9.969589,2.691269,1.039764,-0.906372,-0.41362
walking,1.801773,8.184311,1.227341,2.033112,-0.960846,-0.501205
walking,2.701553,7.92009,3.46489,2.660095,-0.670319,-0.656082
walking,3.251419,10.695602,1.346359,3.158905,-0.270844,-0.809891
walking,4.508255,11.676315,0.277573,2.567169,0.841064,-0.976517
walking,4.636795,12.328537,-0.460342,2.307617,-0.619049,-0.998947
walking,7.117142,14.113815,-2.747879,2.499878,-3.056488,-1.197617
walking,6.736282,15.113571,-1.686234,2.293732,-3.076782,-1.249954
walking,4.336868,14.099533,3.714829,1.469147,-1.279144,-1.348221
walking,0.090286,14.073349,6.618881,1.233093,-0.421448,-1.601364
walking,-3.575485,10.367111,2.729355,1.944458,2.289429,-2.622482
walking,-2.12822,5.089829,1.767685,2.957031,2.871552,-2.645981
walking,3.037186,1.938217,-1.502945,3.209106,2.530823,-2.165329
walking,3.132401,-0.651627,-2.362259,2.811768,2.394104,-1.746628
walking,1.999344,-0.201736,-3.740494,2.030975,2.507324,-1.324722
walking,1.501846,1.56926,-2.314652,1.138031,2.103577,-0.78212
walking,1.677994,1.590683,-2.971634,0.506775,1.623993,-0.452072
walking,1.313797,1.728745,-4.328445,-0.028351,1.335602,-0.251266
walking,0.737747,2.821335,-5.597183,-1.240662,0.689392,0.004013
walking,0.899612,5.427841,-6.335098,-1.240662,0.689392,0.004013
walking,0.849625,8.667526,-5.461502,-1.705292,0.036774,0.170639
walking,0.50209,12.178574,-6.651688,-1.800354,-0.123444,0.264633
walking,-1.773544,15.463486,-7.925186,-1.400879,0.579376,0.520981
walking,-3.189865,19.481552,-6.392227,-0.6297,1.18927,0.443008
walking,-1.856857,15.592026,-8.194168,0.387146,0.561218,-0.012009
walking,-2.428146,7.510666,-14.009415,1.147644,0.917969,-0.831253
walking,-1.266525,3.287888,-11.28389,1.147644,0.917969,-0.831253
walking,2.520645,5.86583,-6.435074,0.45871,-0.337067,-0.41362
walking,6.364945,6.456162,1.446335,-0.574158,-0.722656,0.389603
